fips,County,State,state_code,Level 6,NBCU,Tech Ops EE Count,CAE,Cable Stores,Business Services,Total CCC,Geo Area,%Retail Closed in County,Division,Region,pop,state_pop,Homeloc_count_CCC
36061,New York City,New York,NY,,2931,0,0,0,0,672,,,Northeast,,18804000,20100000,673
06037,Los Angeles,California,CA,,10184,0,0,0,2,93,,,West,,10039107,39937489,93
17031,Cook,Illinois,IL,,803,965,356,201,146,3577,Chicago Metro,30%,Central,Central Care,5150233,12659682,3577
48195,Hansford,Texas,TX,,0,0,0,0,0,0,,,Headquarters,,5399,29472295,0
04013,Maricopa,Arizona,AZ,,280,0,0,0,3,9,,,West,,4485414,7378494,9
06073,San Diego,California,CA,,347,0,0,0,0,23,,,West,,3338330,39937489,23
06059,Orange,California,CA,,300,0,0,0,0,50,,,West,,3175692,39937489,50
12086,Miami-Dade,Florida,FL,,1360,388,0,82,50,656,Miami Metro,100%,Central,CD SS/ Div Off,2716940,21992985,656
48107,Crosby,Texas,TX,,0,0,0,0,0,0,,,Headquarters,,5737,29472295,0
06065,Riverside,California,CA,,91,0,0,0,0,0,,,,,2470546,39937489,0
32001,Churchill,Nevada,NV,,0,0,0,0,0,0,,,Northeast,,24909,3139658,0
53029,Island,Washington,WA,,4,14,0,0,0,14,,,West,Washington,85141,7797095,14
06071,San Bernardino,California,CA,,79,0,0,0,0,0,,,,,2180085,39937489,0
48429,Stephens,Texas,TX,,0,0,0,0,0,0,,,West,,9366,29472295,0
48025,Bee,Texas,TX,,0,0,0,0,0,0,,,Headquarters,,32565,29472295,0
12011,Broward,Florida,FL,,574,345,1221,67,161,2739,,88%,Central,CD SS/ Div Off,1952778,21992985,2739
06085,Santa Clara,California,CA,,281,196,0,65,29,663,,0%,Central,Cust Sales & Reten,1927852,39937489,663
26163,Wayne,Michigan,MI,,42,177,17,38,8,415,Detroit Metro,0%,Central,Heartland,1749343,10045029,415
06001,Alameda,California,CA,,171,248,0,56,48,889,N Cent CA,0%,West,California,1671329,39937489,889
25017,Middlesex,Massachusetts,MA,,245,236,167,60,33,1105,Boston Metro,,Northeast,GBR,1611699,6976597,954
42097,Northumberland,Pennsylvania,PA,,0,0,0,0,0,0,,,Headquarters,,90843,12820878,0
06067,Sacramento,California,CA,,73,268,0,43,34,582,,13%,West,California,1552058,39937489,582
12099,Palm Beach,Florida,FL,,65,347,103,65,22,1039,,75%,Central,CD SS/ Div Off,1496770,21992985,1039
36089,St. Lawrence,New York,NY,,1,0,0,0,0,0,,,Northeast,,107740,20100000,0
12057,Hillsborough,Florida,FL,,109,0,2,0,1,9,,,Central,Central Care,1471968,21992985,9
12095,Orange,Florida,FL,,1223,46,1,3,0,75,,100%,Central,CD SS/ Div Off,1393452,21992985,75
36057,Montgomery,New York,NY,,1,0,0,0,0,0,,,Northeast,,49221,20100000,0
39045,Fairfield,Ohio,OH,,7,0,0,0,0,0,,,Northeast,,157574,11747694,0
48449,Titus,Texas,TX,,0,0,0,0,0,0,,,West,,32750,29472295,0
27053,Hennepin,Minnesota,MN,,334,242,415,61,51,1154,MN Area,0%,West,Twin Cities,1265843,5700671,1154
26125,Oakland,Michigan,MI,,58,227,0,30,34,645,Detroit Metro,0%,Central,CD SS/ Div Off,1257584,10045029,645
39031,Coshocton,Ohio,OH,,0,0,0,0,0,0,,,Northeast,,36600,11747694,0
41071,Yamhill,Oregon,OR,,1,11,0,2,0,16,,100%,West,Portland,107100,4301089,16
49029,Morgan,Utah,UT,,0,0,0,0,0,0,,,West,,12124,3282115,0
06013,Contra Costa,California,CA,,130,200,0,43,11,437,N Cent CA,0%,West,WD SS/ Div Off,1153526,39937489,437
51595,Emporia city,Virginia,VA,,0,0,0,0,0,0,,,Headquarters,,5346,8626207,0
37179,Union,North Carolina,NC,,13,0,0,0,0,0,,,Northeast,,239859,10611862,0
37117,Martin,North Carolina,NC,,0,0,0,0,0,0,,,Northeast,,22440,10611862,0
13121,Fulton,Georgia,GA,,40,86,5,36,107,783,ATL Metro,0%,Central,Big South,1063937,10736059,783
24031,Montgomery,Maryland,MD,,311,141,206,19,29,542,DC Metro,0%,Northeast,Beltway,1050688,6083116,542
04019,Pima,Arizona,AZ,,44,87,237,17,2,710,,0%,West,Mountain West,1047279,7378494,710
48081,Coke,Texas,TX,,0,0,0,0,0,0,,,Headquarters,,3387,29472295,0
06019,Fresno,California,CA,,20,109,0,29,19,238,,0%,West,California,999101,39937489,238
29187,St. Francois,Missouri,MO,,2,0,0,0,0,0,,,Northeast,,67215,6169270,0
12103,Pinellas,Florida,FL,,102,0,1,0,0,4,,,Central,Central Care,974996,21992985,4
15003,Honolulu,Hawaii,HI,,74,0,0,0,0,0,,,Central,,974563,1412687,0
36115,Washington,New York,NY,,2,0,0,0,0,0,,,Northeast,,61204,20100000,1
18097,Marion,Indiana,IN,,65,176,75,0,36,429,,,Central,CD SS/ Div Off,964582,6745354,429
12031,Duval,Florida,FL,,86,206,505,45,39,1124,North Floria,100%,Central,Florida,957755,21992985,1124
55077,Marquette,Wisconsin,WI,,0,0,0,0,0,0,,,Headquarters,,15574,5851754,0
09001,Fairfield,Connecticut,CT,,960,40,0,6,3,70,South CT,0%,Northeast,NED Engnr,943332,3563077,85
47153,Sequatchie,Tennessee,TN,,0,0,0,0,0,0,,,Headquarters,,15026,6897576,0
13135,Gwinnett,Georgia,GA,,31,94,0,15,2,142,ATL Metro,0%,Central,Big South,936250,10736059,142
34001,Atlantic,New Jersey,NJ,,25,188,0,13,0,251,South Jersey,100%,Northeast,Freedom,263670,8882190,251
17043,DuPage,Illinois,IL,,96,15,286,28,4,686,Chicago Metro,0%,Central,Chicago,922921,12659682,686
36027,Dutchess,New York,NY,,73,0,0,0,1,3,,,Northeast,NED Engnr,294218,20100000,3
24033,Prince George's,Maryland,MD,,102,157,0,18,2,260,DC Metro,33%,Northeast,Beltway,909327,6083116,260
