fips,County,State,Level 6,NBCU Flag,Techs,CAE,Cable Stores,Business Services,Ad Sales,Total CCC,Geo Area,%Retail Closed in County,Division,Region,Population
36061,New York City,New York,,Y,,,,,15,672,,,Northeast,,18804000
06037,Los Angeles,California,,Y,,,,2,1,93,,,West,,10039107
17031,Cook,Illinois,,Y,965,356,21,146,38,3577,Chicago Metro,30%,Central,Central Care,5150233
48195,Hansford,Texas,,,,,,,,,,,Headquarters,,5399
04013,Maricopa,Arizona,,Y,,,,3,,9,,,West,,4485414
06073,San Diego,California,,Y,,,,,,23,,,West,,3338330
06059,Orange,California,,,,,,,,5,,,West,,3175692
12086,Miami-Dade,Florida,,Y,388,,82,5,4,656,Miami Metro,100%,Central,CD SS/ Div Off,2716940
48107,Crosby,Texas,,,,,,,,,,,Headquarters,,5737
06065,Riverside,California,,,,,,,,,,,,,2470546
32001,Churchill,Nevada,,,,,,,,,,,Northeast,,24909
53029,Island,Washington,,,14,,,,,14,,,West,Washington,85141
06071,San Bernardino,California,,,,,,,,,,,,,2180085
48429,Stephens,Texas,,,,,,,,,,,West,,9366
48025,Bee,Texas,,,,,,,,,,,Headquarters,,32565
12011,Broward,Florida,,Y,345,1221,67,161,33,2739,,88%,Central,CD SS/ Div Off,1952778
06085,Santa Clara,California,,Y,196,,65,29,7,663,,0%,Central,Cust Sales & Reten,1927852
26163,Wayne,Michigan,,,177,17,38,8,,415,Detroit Metro,0%,Central,Heartland,1749343
06001,Alameda,California,,,248,,56,48,5,889,N Cent CA,0%,West,California,1671329
25017,Middlesex,Massachusetts,,Y,236,167,6,33,5,115,Boston Metro,,Northeast,GBR,1611699
42097,Northumberland,Pennsylvania,,,,,,,,,,,Headquarters,,90843
06067,Sacramento,California,,Y,268,,43,34,19,582,,13%,West,California,1552058
12099,Palm Beach,Florida,,,347,13,65,22,19,139,,75%,Central,CD SS/ Div Off,1496770
36089,St. Lawrence,New York,,,,,,,,,,,Northeast,,107740
12057,Hillsborough,Florida,,Y,,2,,1,,9,,,Central,Central Care,1471968
