State,state_code,cc_ee's,state_pop,CAE,Cable Stores,Business Services,Techs,Warehouse,comcast_state,NBCU_pop
Alabama,AL,391,4908621,65,36,8,191,10,1,0
Alaska,AK,0,3038999,0,0,0,0,0,0,0
Arizona,AZ,720,7378494,227,17,5,86,2,1,335
Arkansas,AR,112,3038999,1,10,7,62,4,1,56
California,CA,4747,39937489,87,471,215,1966,50,1,12431
Colorado,CO,8307,5845526,1233,241,694,752,27,1,771
Connecticut,CT,1250,3563077,300,60,39,381,14,1,1346
Delaware,DE,1101,982895,492,35,7,184,6,1,42
District of Columbia,DC,352,720687,0,11,13,111,4,1,273
Florida,FL,7437,21992985,2229,449,324,2135,99,1,4284
Georgia,GA,4432,10736059,60,188,366,1136,55,1,363
Hawaii,HI,1,1412687,0,0,0,0,0,1,127
Idaho,ID,3,1826156,0,0,1,0,0,1,36
Illinois,IL,5409,12659682,645,369,161,1663,81,1,1060
Indiana,IN,1535,6745354,82,110,53,840,39,1,277
Iowa,IA,2,3179849,1,0,0,0,0,1,51
Kansas,KS,41,2910357,3,9,0,15,0,1,57
Kentucky,KY,129,4499692,1,26,5,66,4,1,118
Louisiana,LA,178,4645184,3,23,2,116,7,1,62
Maine,ME,24,1345790,0,3,0,13,1,1,23
Maryland,MD,2871,6083116,675,120,89,1011,65,1,730
Massachusetts,MA,2950,6976597,458,236,113,1015,53,1,737
Michigan,MI,3536,10045029,551,228,81,1258,65,1,249
Minnesota,MN,1474,5700671,425,94,51,389,20,1,568
Mississippi,MS,1120,2989260,671,51,6,171,15,1,40
Missouri,MO,130,6169270,12,12,2,60,3,1,203
Montana,MT,0,1086759,0,0,0,0,0,0,10
Nebraska,NE,3,1952570,0,0,0,0,0,1,17
Nevada,NV,3,3139658,0,0,0,0,0,1,328
New Hampshire,NH,2255,1371246,285,36,435,248,68,1,72
New Jersey,NJ,3466,8882190,321,178,81,995,66,1,3656
New Mexico,NM,668,2096640,228,54,22,206,6,1,26
New York,NY,804,20100000,15,0,14,2,1,1,7863
North Carolina,NC,48,10611862,1,0,0,3,1,1,430
North Dakota,ND,0,761723,0,0,0,0,0,0,1
Ohio,OH,393,11747694,5,0,29,64,24,1,296
Oklahoma,OK,5,3954821,0,0,0,0,0,1,34
Oregon,OR,1544,4301089,427,113,50,420,9,1,208
Pennsylvania,PA,14103,12820878,1187,241,565,1772,134,1,925
Rhode Island,RI,2,1056161,0,0,0,0,0,1,46
South Carolina,SC,556,5210095,181,23,13,103,5,1,104
South Dakota,SD,0,903027,0,0,0,0,0,0,10
Tennessee,TN,2224,6897576,644,113,71,747,33,1,342
Texas,TX,2871,29472295,667,180,145,945,8,1,1202
Utah,UT,1133,3282115,17,77,40,334,15,1,107
Vermont,VT,141,628061,0,12,5,80,2,1,16
Virginia,VA,1748,8626207,13,102,72,703,37,1,470
Washington,WA,4056,7797095,866,232,106,987,26,1,233
West Virginia,WV,154,1778070,0,20,2,102,6,1,12
Wisconsin,WI,19,5851754,1,3,0,6,0,1,0
Wyoming,WY,0,567025,0,0,0,0,0,0,0
